p_id,cid,uid,uname
1098837086877710_1424665737628175,x,user,157591047964145,Nguyễn Quốc Việt
1098837086877710_1378336282261121,x,user,323035577882343,Lương Minh Nghĩa
1098837086877710_1439704836124265,1439705536124195,user,1513813458895231,Nguyễn Quốc Đích
1098837086877710_1439704836124265,1439707416124007,user,348183282034548,Tú Anh Nguyễn
1098837086877710_1436357853125630,1436358386458910,user,398999603637225,Lại Phương Thảo
1098837086877710_1436357853125630,1436358436458905,user,398999603637225,Lại Phương Thảo
1098837086877710_1424665737628175,1424668500961232,user,291343891025154,하비비
1098837086877710_1424665737628175,1424668500961232,user,246287892440280,An An
1098837086877710_1424665737628175,1424668500961232,user,348183282034548,Tú Anh Nguyễn
1098837086877710_1424665737628175,1424723167622432,user,119175735203231,Hà Giang Trần
1098837086877710_1424665737628175,1424723167622432,user,291033527774320,Thanh Hòa
1098837086877710_1424665737628175,1424750034286412,user,1412850885692860,Lan Anh Phạm
1098837086877710_1424665737628175,1424750034286412,user,630068983792650,Nguyễn Đức Trung
1098837086877710_1424665737628175,1424750034286412,user,1532082440392857,Lê Hà
1098837086877710_1424665737628175,1424750034286412,user,1412420062354441,Phạm Hương
1098837086877710_1412008235560592,1412062568888492,user,519625991474960,Phương Anh
1098837086877710_1412008235560592,1412062568888492,user,650368471702293,Thủy Tiên
1098837086877710_1412008235560592,1412112845550131,user,291343891025154,하비비
1098837086877710_1407079856053430,1407082206053195,user,348183282034548,Tú Anh Nguyễn
1098837086877710_1407079856053430,1407084272719655,user,298921273638940,Trần Diệu
1098837086877710_1407079856053430,1407120016049414,user,650368471702293,Thủy Tiên
1098837086877710_1373676796060403,1373677989393617,user,459861477479483,Cuong Luu
1098837086877710_1373676796060403,1373678832726866,user,479488698819189,Choi Kemin
1098837086877710_1373676796060403,1373687512725998,user,314765055342345,Đỗ Tiến Thành
1098837086877710_1373676796060403,1373788869382529,user,536672406453944,Huỳnh Thu Trang
1098837086877710_1359133180848098,1359134977514585,user,1475597276097631,An
1098837086877710_1359133180848098,1359134977514585,user,451060508375291,Đạo Lê
1098837086877710_1359133180848098,1359134977514585,user,1484902205058084,Thuận Nguyễn
1098837086877710_1359133180848098,1359134977514585,user,1531830083710360,Phạm Thành Thảo
1098837086877710_1359133180848098,1359139767514106,user,128628857640946,An Long
1098837086877710_1359133180848098,1359142157513867,user,373323409510056,Tiến Hưng
1098837086877710_1332162040211879,1332344483526968,user,108237369507335,Thang Nguyen
1098837086877710_1332162040211879,1354471837980899,user,246287892440280,An An
1098837086877710_1332162040211879,1356643621097054,user,437319186432230,Anh Đức Nguyễn
1098837086877710_1352698188158264,1352706858157397,user,294994590687948,Nguyễn Duy
1098837086877710_1349348285159921,1349349081826508,user,348183282034548,Tú Anh Nguyễn
1098837086877710_1349348285159921,1349368675157882,user,521983757942500,TuanAnh Vũ
1098837086877710_1347325768695506,1347369072024509,user,129341850855177,Đặng Hữu Đạt
1098837086877710_1341006085994141,1341125499315533,user,479488698819189,Choi Kemin
1098837086877710_1337813562980060,x,user,412676215538640,Tiến Hoàng
1098837086877710_1329330523828364,x,user,10202751246614691,Nguyễn Mạnh Hùng
1098837086877710_1338994532861963,1339006576194092,user,650368471702293,Thủy Tiên
1098837086877710_1338994532861963,1339011962860220,user,1475597276097631,An
1098837086877710_1338994532861963,1339011962860220,user,1508913216047844,Bùi Trang
1098837086877710_1338994532861963,1339011962860220,user,519625991474960,Phương Anh
1098837086877710_1338994532861963,1339025879525495,user,1567996366752383,Hương Lan Tô
1098837086877710_1338994532861963,1339037419524341,user,536672406453944,Huỳnh Thu Trang
1098837086877710_1338994532861963,1339059782855438,user,373323409510056,Tiến Hưng
1098837086877710_1338994532861963,1339063456188404,user,298921273638940,Trần Diệu
1098837086877710_1232300756864675,1334276393333777,user,1426625624327741,Hải Sion
1098837086877710_1332492910178792,1332493470178736,user,500467326742577,Hùng Phan
1098837086877710_1329330523828364,1329351027159647,user,10202986066039897,Tran Hue
1098837086877710_1329330523828364,1329791040448979,user,479488698819189,Choi Kemin
1098837086877710_1331630723598344,1331632766931473,user,348183282034548,Tú Anh Nguyễn
1098837086877710_1330497833711633,1330525033708913,user,348183282034548,Tú Anh Nguyễn
1098837086877710_1330497833711633,1330525033708913,user,500467326742577,Hùng Phan
1098837086877710_1278701738891243,1278715528889864,user,10152665889068427,Đậu Hải Phong
1098837086877710_1247336538694430,1255978007830283,user,305540146263909,Phạm Như Thuần
1098837086877710_1255927774501973,1255974284497322,user,179880535683348,Mộc An Chi
1098837086877710_1255927774501973,1255974284497322,user,606298222828886,Khánh Tit
1098837086877710_1255927774501973,1255974284497322,user,359794047523754,Tâmm Nguyễn
1098837086877710_1250846291676788,1250849391676478,user,764459653590333,Phát Ngô
1098837086877710_1243717572389660,1243719965722754,user,203633346718119,Hằng Alice
1098837086877710_1243717572389660,1244304245664326,user,359794047523754,Tâmm Nguyễn
1098837086877710_1243717572389660,1244304245664326,user,606298222828886,Khánh Tit
1098837086877710_1244601368967947,1244629125631838,user,119204315199716,Hoàng Tứ
1098837086877710_1244601368967947,1244726395622111,user,10202751246614691,Nguyễn Mạnh Hùng
1098837086877710_1216254355135982,x,user,579229115542324,Quang Anh
1098837086877710_1243884689039615,1243899459038138,user,298921273638940,Trần Diệu
1098837086877710_1243884689039615,1243899459038138,user,1742088162682393,Hoàng TouLiver
1098837086877710_1243884689039615,1243900669038017,user,396875550469277,Quỳnh Lê
1098837086877710_1243884689039615,1243909679037116,user,1521591531460618,Soobin Chí Linh
1098837086877710_1243884689039615,1243909679037116,user,157090197969102,Ngọc Sơn
1098837086877710_1243699662391451,1243700625724688,user,298921273638940,Trần Diệu
1098837086877710_1243699662391451,1243701415724609,user,606298222828886,Khánh Tit
1098837086877710_1243699662391451,1243701415724609,user,1529161823977449,Bùi Ngọc
1098837086877710_1243699662391451,1243701415724609,user,398999603637225,Lại Phương Thảo
1098837086877710_1243699662391451,1243705472390870,user,203633346718119,Hằng Alice
1098837086877710_1243699662391451,1243709429057141,user,500467326742577,Hùng Phan
1098837086877710_1243699662391451,1243712012390216,user,348183282034548,Tú Anh Nguyễn
1098837086877710_1243699662391451,1243713619056722,user,462602103873506,TuanAnh Nguyen
1098837086877710_1243699662391451,1243714845723266,user,1464776000423440,Nhật Minh
1098837086877710_1243699662391451,1243716659056418,user,517967591679230,Tuấn Anh
1098837086877710_1243699662391451,1243729719055112,user,536672406453944,Huỳnh Thu Trang
1098837086877710_1243699662391451,1243860175708733,user,606298222828886,Khánh Tit
1098837086877710_1243699662391451,1243860175708733,user,373323409510056,Tiến Hưng
1098837086877710_1243699662391451,1243860175708733,user,650368471702293,Thủy Tiên
1098837086877710_1243699662391451,1243874879040596,user,203633346718119,Hằng Alice
1098837086877710_1243457815748969,1243496169078467,user,462602103873506,TuanAnh Nguyen
1098837086877710_1241406249287459,1241407192620698,user,10152665889068427,Đậu Hải Phong
1098837086877710_1241406249287459,1241407229287361,user,10202751246614691,Nguyễn Mạnh Hùng
1098837086877710_1216254355135982,1216342278460523,user,564495990331649,Hoaii Thuongg
1098837086877710_1216254355135982,1216342278460523,user,449066411906121,Huy Hải
1098837086877710_1216254355135982,1216448508449900,user,579229115542324,Quang Anh
1098837086877710_1215425905218827,1215426271885457,user,574457119329014,Tuấn Trung
1098837086877710_1215425905218827,1215426488552102,user,579229115542324,Quang Anh
1098837086877710_1215425905218827,1215426555218762,user,521983757942500,TuanAnh Vũ
1098837086877710_1203772883050796,x,group,167110180423640,[MSP] TechCourse@TLU
1098837086877710_1196680690426682,x,user,10152665889068427,Đậu Hải Phong
1098837086877710_1196680690426682,x,group,1885606091670517,TLU-TI29 ( Lớp Lý Thuyết Thầy Phong 4.1 )
1098837086877710_1210281729066578,1210288099065941,user,299790483506681,Lương Thị Thương Thương
1098837086877710_1210281729066578,1210288099065941,user,1473258229663311,Kiên Trung
1098837086877710_1210281729066578,1210288099065941,user,246287892440280,An An
1098837086877710_1210281729066578,1210288099065941,user,1498293367120216,Nguyễn Chí Công
1098837086877710_1210281729066578,1210288099065941,user,265497890289927,Đỗ Thị Ngọc Mai
1098837086877710_1210281729066578,1210288979065853,user,1504627109760099,Vũ Đức Chinh
1098837086877710_1210281729066578,1210288979065853,user,1406687632983398,Nguyễn Lợi
1098837086877710_1207996239295127,1208031905958227,user,1464776000423440,Nhật Minh
1098837086877710_1207952215966196,1207997479295003,user,1402338683418583,Nguyen Duc Truong
1098837086877710_1207952215966196,1207997675961650,user,1529161823977449,Bùi Ngọc
1098837086877710_1207952215966196,1207997675961650,user,1425519824444321,Linh Thùy
1098837086877710_1207952215966196,1208018242626260,user,348183282034548,Tú Anh Nguyễn
1098837086877710_1207952215966196,1208018242626260,user,292271984261989,Tưởng Duy Minh
1098837086877710_1207952215966196,1208019469292804,user,179880535683348,Mộc An Chi
1098837086877710_1207952215966196,1208023359292415,user,483986175068542,Nguyễn Mạnh Hưng
1098837086877710_1207952215966196,1208037129291038,user,606298222828886,Khánh Tit
1098837086877710_1207952215966196,1208037129291038,user,573653002767482,Tạ Minh Nhật
1098837086877710_1207952215966196,1208037129291038,user,675198325871691,Kimm Huy
1098837086877710_1207952215966196,1208060309288720,user,1735591543332602,Nguyen Hong Quan
1098837086877710_1207952215966196,1208060309288720,user,536726163120224,Nguyễn Hoàng Quân
1098837086877710_1207952215966196,1208060309288720,user,373323409510056,Tiến Hưng
1098837086877710_1207952215966196,1208060309288720,user,514296752008267,Minh Đức
1098837086877710_1202793696482048,1202869783141106,user,106168676404236,Hoàng Minh
1098837086877710_1196680690426682,1196682460426505,user,585560451541889,Minh Hoàng
1098837086877710_1196680690426682,1196682460426505,user,359794047523754,Tâmm Nguyễn
1098837086877710_1196680690426682,1196682460426505,user,1567996366752383,Hương Lan Tô
1098837086877710_1196680690426682,1196682460426505,user,1548721255392865,Mai Trang
1098837086877710_1196680690426682,1196682460426505,user,579229115542324,Quang Anh
1098837086877710_1190382514389833,x,group,1106319559445425,TLU-Cộng đồng C++
1098837086877710_1194434813984603,1194435707317847,user,323035577882343,Lương Minh Nghĩa
1098837086877710_1194434813984603,1194452307316187,user,630068983792650,Nguyễn Đức Trung
1098837086877710_1194434813984603,1194461597315258,user,630068983792650,Nguyễn Đức Trung
1098837086877710_1194434813984603,1194484950646256,user,630068983792650,Nguyễn Đức Trung
1098837086877710_1194434813984603,1194730653955019,user,596097443868961,Sơn Nguyễn
1098837086877710_1193565984071486,1193619184066166,user,259380117574447,Chen Long
1098837086877710_1189581527803265,1189584521136299,user,106168676404236,Hoàng Minh
1098837086877710_1187773937984024,x,group,1106319559445425,TLU-Cộng đồng C++
1098837086877710_1186721501422601,x,user,108237369507335,Thang Nguyen
1098837086877710_1186672111427540,x,user,437319186432230,Anh Đức Nguyễn
1098837086877710_1185068688254549,x,user,437319186432230,Anh Đức Nguyễn
1098837086877710_1185922091502542,x,user,1402338683418583,Nguyen Duc Truong
1098837086877710_1185922091502542,x,user,187751081572483,Nguyễn Đại Dương
1098837086877710_1186615448099873,1186622054765879,user,682005978579101,Văn Dũng
1098837086877710_1185068688254549,1185071151587636,user,137220743358657,Thu Hà
1098837086877710_1185068688254549,1185071151587636,user,295220487321435,Dương Mạnh
1098837086877710_1185068688254549,1185071151587636,user,554816744636175,Lâm Huế
1098837086877710_1185068688254549,1185071151587636,user,548081008669653,Heo Map
1098837086877710_1185068688254549,1185077938253624,user,1510438935892383,Lê Trung Hiếu
1098837086877710_1185068688254549,1185095931585158,user,359794047523754,Tâmm Nguyễn
1098837086877710_1185068688254549,1185099461584805,user,318096198343653,Tuấn Đạt
1098837086877710_1185068688254549,1185099461584805,user,553419141440712,Nguyễn Duy Thắng
1098837086877710_1185068688254549,1185108104917274,user,291343891025154,하비비
1098837086877710_1185068688254549,1185108104917274,user,1510438935892383,Lê Trung Hiếu
1098837086877710_1185068688254549,1185108104917274,user,596097443868961,Sơn Nguyễn
1098837086877710_1185068688254549,1185138588247559,user,408096389346675,Linh MU
1098837086877710_1185068688254549,1185138894914195,user,157591047964145,Nguyễn Quốc Việt
1098837086877710_1185068688254549,1185138894914195,user,413109775508964,Trần Huy
1098837086877710_1185137004914384,1185143564913728,user,650368471702293,Thủy Tiên
1098837086877710_1185137004914384,1185143564913728,user,1475597276097631,An
1098837086877710_1185137004914384,1185143564913728,user,634359873319196,Bùi Thành
1098837086877710_1185137004914384,1185162208245197,user,517967591679230,Tuấn Anh
1098837086877710_1185850638176354,1185851434842941,user,323035577882343,Lương Minh Nghĩa
1098837086877710_1185850638176354,1185851434842941,user,1475597276097631,An
1098837086877710_1185850638176354,1185851434842941,user,1508913216047844,Bùi Trang
1098837086877710_1185850638176354,1185851511509600,user,298921273638940,Trần Diệu
1098837086877710_1185850638176354,1185851591509592,user,203633346718119,Hằng Alice
1098837086877710_1185083108253107,1185095851585166,user,157591047964145,Nguyễn Quốc Việt
1098837086877710_1185083108253107,1185148574913227,user,437319186432230,Anh Đức Nguyễn
1098837086877710_1185083108253107,1185148574913227,user,120997131678770,Nguyễn Hoàn
1098837086877710_1185033588258059,1185035244924560,user,246287892440280,An An
1098837086877710_1183875751707176,1185057338255684,user,106168676404236,Hoàng Minh
1098837086877710_1179156445512440,x,user,437319186432230,Anh Đức Nguyễn
1098837086877710_1178585048902913,x,user,108237369507335,Thang Nguyen
1098837086877710_1184103255017759,1184115565016528,user,564495990331649,Hoaii Thuongg
1098837086877710_1184103255017759,1184116211683130,user,579229115542324,Quang Anh
1098837086877710_1167237270037691,1167245590036859,user,404286283057028,Mai QĐ
1098837086877710_1167237270037691,1167252766702808,user,564495990331649,Hoaii Thuongg
1098837086877710_1167237270037691,1167252766702808,user,1567996366752383,Hương Lan Tô
1098837086877710_1167237270037691,1167252766702808,user,521983757942500,TuanAnh Vũ
1098837086877710_1167237270037691,1167253156702769,user,282881318546150,Trần Văn Hùng
1098837086877710_1167237270037691,1167263340035084,user,639604166172709,Nguyễn Đăng Khánh
1098837086877710_1167237270037691,1167267916701293,user,408096389346675,Linh MU
1098837086877710_1167237270037691,1167268880034530,user,559289507518219,Tuấn Hoàng
1098837086877710_1167237270037691,1167689613325790,user,157591047964145,Nguyễn Quốc Việt
1098837086877710_1167237270037691,1167689613325790,user,574457119329014,Tuấn Trung
1098837086877710_1167237270037691,1167704993324252,user,517967591679230,Tuấn Anh
1098837086877710_1167237270037691,1168418796586205,user,579229115542324,Quang Anh
1098837086877710_1167237270037691,1168455126582572,user,548081008669653,Heo Map
1098837086877710_1167237270037691,1168477806580304,user,1521591531460618,Soobin Chí Linh
1098837086877710_1167237270037691,1168477806580304,user,1436225166672404,Cao Hồng Hòa
1098837086877710_1167237270037691,1172825149478903,user,100003204888637,Duc Anh Revilo
1098837086877710_1167237270037691,1172835526144532,user,291343891025154,하비비
1098837086877710_1167237270037691,1172883682806383,user,564495990331649,Hoaii Thuongg
1098837086877710_1167237270037691,1175309829230435,user,639604166172709,Nguyễn Đăng Khánh
1098837086877710_1167237270037691,1175594975868587,user,157591047964145,Nguyễn Quốc Việt
1098837086877710_1167237270037691,1179726818788736,user,318096198343653,Tuấn Đạt
1098837086877710_1167237270037691,1180410492053702,user,667204266692786,Nguyễn Quốc Hiệp
1098837086877710_1167237270037691,1180412145386870,user,553419141440712,Nguyễn Duy Thắng
1098837086877710_1167237270037691,1184544088307009,user,451060508375291,Đạo Lê
1098837086877710_1167237270037691,1184575721637179,user,1521591531460618,Soobin Chí Linh
